team,elo,rank,rank_percentile
Arsenal,1535.600294457974,23,0.0
Manchester City,1530.7343452332163,22,0.045454545454545414
Chelsea,1516.2510479621767,21,0.09090909090909094
Manchester United,1515.376958812205,20,0.13636363636363635
Liverpool,1514.2605280498606,19,0.18181818181818177
Brentford,1512.6223575443826,18,0.2272727272727273
Bournemouth,1509.0799679156087,17,0.2727272727272727
Leeds,1506.4796840141687,16,0.31818181818181823
Brighton,1505.7383502044763,15,0.36363636363636365
Crystal Palace,1504.390312695096,14,0.40909090909090906
Newcastle United,1501.3062016755582,13,0.4545454545454546
Aston Villa,1500.5394583498369,12,0.5
Ipswich,1496.4061421659314,11,0.5454545454545454
Everton,1495.921693705077,10,0.5909090909090908
Leicester,1494.7316126234082,9,0.6363636363636364
Fulham,1490.9432420646353,8,0.6818181818181819
Southampton,1489.933690290874,7,0.7272727272727273
West Ham,1487.8504316044264,6,0.7727272727272727
Nottingham Forest,1485.3778759636643,5,0.8181818181818181
Sunderland,1485.139127782673,4,0.8636363636363636
Tottenham,1485.1208622559973,3,0.9090909090909091
Wolverhampton Wanderers,1472.6380946827032,2,0.9545454545454546
Burnley,1463.55771994605,1,1.0
